DATE,United States Delinquency,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,3.1,3,3.1,3.1,3.3,3.3,3.3,3.4,3.2,3.4,3.4,3.1,2.9,2.7,2.7,2.7,2.8,2.8,2.6,2.8,2.6,2.9,2.9,2.4,2.4,2.1,2.4,2.1,2.4,2.6,2.4,2.4,2.4,2.6,2.6,2.2,2,2,2.1,2.1,2.2,2.4,2.3,2.4,2.2,2.4,2.6,2.2,2,1.8,2,2,2.2,2.2,2.2,2.2,2.1,2.2,2.4,2.1,2,1.9,2,1.9,2.1,2.2,2,2,2,2.1,2.3,2,1.8,1.8,1.8,1.8,2,2.1,2,2,1.9,2.1,2.2,1.9,1.8,1.6,1.8,1.7,2,2,1.9,2.1,1.9,2.2,2.2,1.8,1.7,1.2,1,0.8,0.9,1,0.9,1,0.8,1,1,0.7,0.8,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.8,1
2015-09,2.3,3.3,1.5,1.9,2.9,1.5,1.3,2.4,2.6,1.7,2.3,3,1.3,1.6,2.2,2.6,1.6,2,2.5,3.7,2.5,2.6,1.8,2.4,1.4,4.9,2.5,1.5,1.5,1.7,2,2.3,2.3,2.4,2.8,1.4,2.5,2.6,1.2,2.9,2.3,3.3,1.7,3,3,1.8,1.9,2.1,1.2,3.4,1.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10,2.4,3.5,1.4,2,3,1.5,1.4,2.6,2.8,1.8,2.4,3.1,1.2,1.7,2.2,2.8,1.8,2,2.5,4,2.5,2.7,2.1,2.4,1.5,5,2.6,1.5,1.7,1.7,2.1,2.4,2.5,2.5,3,1.1,2.5,2.7,1.2,3.1,2.4,3.3,1.3,3.2,3.2,2,2,2.2,1.2,3.6,1.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11,2.2,3.2,1.2,1.8,2.8,1.4,1.3,2.5,2.5,1.9,2.3,3,1.2,1.8,2,2.6,1.6,2,2.4,3.8,2.6,2.6,1.9,2.2,1.4,5,2.6,1.5,1.5,1.6,1.8,2.3,2.3,2.4,2.8,1,2.5,2.8,1.1,2.9,2.2,2.8,1.2,2.9,3,1.8,2,2.1,1.1,3.7,1.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12,2.4,3.6,1.6,2,3.1,1.5,1.4,2.6,2.9,2,2.5,3.3,1.2,1.9,2.2,2.8,1.9,2,2.6,4.2,2.8,2.8,2.1,2.4,1.5,5.1,2.6,1.7,1.6,1.6,2.2,2.4,2.6,2.5,3.1,1.2,2.6,2.9,1.2,3.2,2.4,3.1,1.4,3.2,3.2,1.9,2.1,2.2,1.2,4.1,1.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01,2.6,3.8,1.9,2.2,3.2,1.7,1.5,2.8,3.1,1.9,2.7,3.5,1.4,2.2,2.3,3,2,2.2,2.7,4.2,2.8,2.9,2.3,2.6,1.6,5.2,2.8,1.9,1.7,1.8,2.2,2.5,2.9,2.7,3.3,1.2,2.7,3.2,1.3,3.4,2.8,3.4,1.5,3.4,3.4,2.1,2.1,2.4,1.4,4.1,1.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02,2.2,3.1,1.5,1.9,2.6,1.5,1.3,2.3,2.7,1.7,2.2,2.9,1.1,1.8,2,2.5,1.6,1.8,2.4,3.8,2.4,2.6,1.9,2.2,1.4,4.5,2.3,1.5,1.4,1.6,1.8,2.2,2.3,2.4,2.8,1.2,2.3,2.7,1.1,2.9,2.2,3.1,1.4,2.9,2.9,1.7,1.8,2.1,1.1,3.6,1.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03,2,2.8,1.5,1.7,2.4,1.3,1.2,2.2,2.4,1.4,2,2.6,1,1.6,1.8,2.1,1.3,1.5,2,3.4,2.2,2.2,1.8,1.9,1.3,3.8,2,1.6,1.3,1.5,1.7,2.1,2.2,2.1,2.5,1,2,2.5,1,2.5,2,2.8,1.2,2.5,2.6,1.5,1.4,1.8,1,3.1,1.2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04,1.8,2.7,1.3,1.6,2.2,1.3,1.1,2,2.2,1,1.8,2.4,0.9,1.6,1.7,2.1,1.3,1.4,2,3.1,2.1,2.1,1.6,1.8,1.2,3.7,2,1.5,1.3,1.4,1.6,1.9,1.9,2,2.3,1.1,1.9,2.4,0.9,2.4,1.8,2.6,1,2.4,2.5,1.5,1.3,1.7,0.9,2.9,1.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05,2,2.9,1.4,1.6,2.6,1.4,1.1,2.2,2.3,1.2,2,2.6,1,1.7,1.8,2.3,1.5,1.7,2.3,3.4,2.1,2.2,1.8,2,1.3,4.2,2.2,1.5,1.4,1.5,1.8,2,2,2.1,2.5,1.1,2.2,2.5,1,2.6,2.2,2.8,1.3,2.6,2.6,1.6,1.7,1.8,1,3.5,1.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06,2,2.9,1.3,1.6,2.5,1.3,1.2,2.1,2.5,1.3,2,2.6,1.1,1.7,1.8,2.3,1.5,1.7,2.2,3.4,2.2,2.3,1.7,2.1,1.3,4.2,2.3,1.5,1.3,1.4,1.6,2,2.1,2,2.5,1.3,2.2,2.7,1,2.6,2.1,2.9,1.3,2.5,2.8,1.7,1.7,1.9,1,3.6,1.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07,2.2,3.3,1.7,1.8,2.7,1.4,1.3,2.4,2.5,1.8,2.2,2.8,1.1,2.1,2,2.5,1.7,1.7,2.5,3.8,2.3,2.6,1.9,2.2,1.5,4.5,2.3,1.8,1.8,1.5,1.9,2.2,2.2,2.3,2.8,1.4,2.4,2.9,1.1,2.9,2.2,3.1,1.6,2.7,2.9,1.7,1.7,2.1,1.2,3.8,1.4,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08,2.2,3.4,1.6,1.9,2.8,1.4,1.3,2.4,2.4,1.8,2.2,3,1.3,1.9,2,2.7,1.8,1.9,2.5,3.9,2.4,2.6,2,2.2,1.5,4.8,2.4,1.8,1.6,1.6,1.9,2.3,2.3,2.4,2.8,1.3,2.4,2.9,1.1,3,2.6,3.2,1.7,2.8,2.9,1.7,1.8,2.1,1.1,3.8,1.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09,2.2,3.1,1.7,1.7,2.8,1.3,1.3,2.3,2.7,1.7,2.2,2.8,1.2,1.7,2.1,2.5,1.7,1.8,2.4,3.5,2.3,2.6,1.8,2.1,1.4,4.4,2.2,1.7,1.5,1.5,1.9,2.3,2.2,2.3,2.7,1.4,2.3,2.8,0.9,2.8,2.3,3.2,1.8,2.8,2.9,1.7,1.6,2,1.1,3.5,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10,2.2,3.5,1.6,1.9,3,1.4,1.3,2.5,2.5,1.4,2.2,2.9,1.1,1.7,2.1,2.7,1.9,2,2.5,3.6,2.3,2.5,1.9,2.2,1.4,4.9,2.4,1.6,1.4,1.6,1.8,2.3,2.3,2.4,2.8,1.4,2.4,3,1,2.9,2.5,3.2,1.6,2.8,3.1,1.7,1.6,2.1,1.1,3.6,1.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,2.1,3.3,1.3,1.8,2.8,1.4,1.2,2.4,2.6,1.6,2,2.9,1,1.7,2,2.5,1.8,1.9,2.4,3.4,2.3,2.4,1.8,2.2,1.4,4.8,2.3,1.6,1.4,1.6,1.6,2.2,2.3,2.2,2.6,1.3,2.3,2.9,1,2.8,2.3,3,1.7,2.7,3.1,1.8,1.4,2,1,3.4,1.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,2.2,3.5,1.4,1.9,2.9,1.4,1.3,2.5,2.6,1.3,2.1,2.9,1.1,1.8,2.1,2.7,1.9,2,2.6,3.9,2.4,2.5,1.9,2.2,1.5,4.8,2.3,1.7,1.4,1.6,1.9,2.2,2.3,2.4,2.6,1.3,2.5,3.1,1.2,3,2.3,3,1.8,2.8,3.2,1.7,1.6,2,1,3.7,1.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01,2.4,3.8,1.6,2,3,1.5,1.4,2.6,2.7,1.7,2.3,3.1,1.2,2,2.2,2.7,1.9,2.1,2.9,4.1,2.5,2.7,2.1,2.5,1.6,5,2.5,1.7,1.5,1.7,2.2,2.4,2.5,2.5,2.9,1.6,2.6,3.2,1.2,3.2,2.6,3.2,1.9,3,3.3,1.8,1.8,2.1,1.1,3.8,1.5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02,2.1,3.3,1.7,1.8,2.8,1.3,1.3,2.3,2.3,1.5,2.1,2.8,1.2,1.8,1.9,2.4,1.7,1.8,2.5,3.6,2,2.4,1.7,2.1,1.4,4.6,2.3,1.4,1.4,1.4,1.6,2.2,2.3,2.2,2.6,1.2,2.4,2.9,1.1,2.8,2.1,3.1,1.6,2.8,3,1.6,1.4,1.9,1.1,3.6,1.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03,2,3,1.7,1.6,2.6,1.3,1.2,2.3,2.2,1.5,1.9,2.6,1.1,1.7,1.8,2.1,1.6,1.6,2.1,3.3,1.9,2.3,1.7,1.8,1.3,4,2,1.5,1.3,1.4,1.6,2.1,2.1,2.1,2.4,1.1,2,2.7,1,2.5,2,2.7,1.4,2.5,2.7,1.4,1.4,1.8,0.9,3.3,1.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04,1.9,3,1.7,1.6,2.4,1.2,1.1,2.2,2.1,1.5,1.8,2.4,1.2,1.7,1.7,2.2,1.4,1.6,2.1,3.1,1.9,2.2,1.6,1.8,1.2,3.9,2.1,1.4,1.2,1.3,1.4,2,2,1.9,2.4,1.2,2,2.7,0.9,2.5,1.8,2.6,1.3,2.3,2.6,1.4,1.2,1.7,0.9,3.2,1.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05,2,2.9,1.8,1.6,2.6,1.2,1.2,2.2,2.1,1.4,1.9,2.5,1.2,1.7,1.9,2.3,1.6,1.9,2.2,3.4,2.2,2.3,1.7,1.9,1.3,4.1,2.2,1.5,1.3,1.4,1.8,2,2.1,2.1,2.5,1,2.1,2.8,1,2.7,2,2.7,1.2,2.5,2.8,1.5,1.4,1.8,1,3.6,1.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06,1.9,2.9,1.4,1.6,2.6,1.2,1.2,2,2.1,1.6,1.9,2.5,1,1.7,1.8,2.2,1.4,1.7,2.3,3.4,1.9,2.3,1.6,2,1.3,4.1,2.1,1.3,1.2,1.2,1.6,2,2,2,2.5,1.2,2.1,2.8,0.9,2.7,2.2,2.8,1.3,2.4,2.7,1.5,1.4,1.8,1,3.4,1.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07,2.1,3.2,1.7,1.7,2.6,1.3,1.3,2.4,2.6,1.7,2.1,2.5,1.1,1.6,2,2.5,1.7,1.9,2.3,3.6,2.2,2.4,1.7,2.1,1.4,4.4,2.2,1.4,1.4,1.4,1.7,2.2,2.2,2.2,2.7,1.3,2.3,2.8,1,2.9,2.2,2.9,1.5,2.5,3,1.7,1.8,1.9,1,3.9,1.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08,2.2,3.4,1.7,1.9,2.7,1.4,1.3,2.5,2.7,1.8,2.2,2.8,1.1,1.9,2.1,2.4,1.9,2,2.5,3.8,2.2,2.6,1.9,2.3,1.4,4.8,2.3,1.5,1.4,1.5,1.9,2.4,2.4,2.3,2.7,1.2,2.4,2.9,1,2.9,2.4,3.1,1.6,2.6,2.9,1.7,1.6,2,1.1,3.8,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09,2,3.2,1.7,1.8,2.6,1.3,1.1,2.3,2.4,1.6,2,2.4,1,1.8,2,2.4,1.6,1.9,2.3,3.3,2.1,2.5,1.7,2.1,1.4,4.7,2.3,1.7,1.3,1.4,1.6,2.3,2.1,2.1,2.6,1.2,2.3,2.9,0.9,2.7,2,2.9,1.4,2.5,2.4,1.6,1.2,2,1,3.3,1.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10,2,3.2,1.5,1.8,2.9,1.3,1.2,2.4,2.4,1.5,1.4,2.3,1,1.7,2,2.6,1.9,2.1,2.5,3.4,2.1,2.5,1.7,2.2,1.4,4.6,2.4,1.6,1.5,1.4,1.8,2.3,2.2,2.1,2.6,1,2.3,3,1,2.7,2.1,3,1.7,2.8,2.3,1.6,1.5,2,1,3.6,1.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11,2,3.3,1.4,1.8,3,1.3,1.2,2.2,2.5,1.8,1,2.3,1.2,1.9,2,2.4,1.7,1.9,2.4,3.2,2.1,2.5,1.7,2.1,1.4,4.6,2.4,1.5,1.4,1.4,1.6,2.3,2.2,2.1,2.6,0.9,2.2,2.9,0.9,2.8,2.3,2.8,1.6,2.8,2.1,1.6,1.4,2,1,3.3,1.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12,2.1,3.4,1.6,1.9,3.2,1.3,1.3,2.5,2.5,1.9,1.1,2.4,1.1,1.8,2,2.5,1.9,2,2.7,3.5,2.3,2.5,1.9,2.2,1.5,4.7,2.4,1.5,1.5,1.5,2,2.4,2.4,2.2,2.7,0.9,2.4,3,1,2.9,2.5,2.9,1.7,2.9,2.4,1.6,1.8,2.1,1,4,1.5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,2.3,3.7,2.1,2,3.5,1.4,1.4,2.7,2.7,1.7,1.4,2.9,1.1,1.9,2.2,2.8,2,2.2,2.7,4.1,2.7,2.8,2.1,2.5,1.7,5.2,2.7,1.6,1.6,1.6,2.2,2.6,2.6,2.4,2.9,1.4,2.6,3.2,1.1,3.3,2.8,3.2,1.8,3.1,2.7,1.7,1.9,2.2,1.1,4.4,1.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,2,3.3,1.8,1.9,2.9,1.2,1.2,2.3,2.2,1.4,1.4,2.6,1,1.5,2,2.4,1.7,1.9,2.3,3.6,2.1,2.5,1.7,2.1,1.5,4.6,2.4,1.6,1.5,1.5,1.8,2.2,2.1,2.1,2.5,1.5,2.2,2.8,1,2.8,2.4,3,1.2,2.7,2.4,1.5,1.4,2,1,3.5,1.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,1.8,2.9,1.8,1.7,2.6,1.1,1.1,2.1,2.2,1.4,1.4,2.5,0.9,1.7,1.8,2.1,1.6,1.8,2,3.5,1.9,2.2,1.6,1.8,1.3,3.8,2.1,1.2,1.4,1.3,1.7,2.1,2.1,2,2.4,1,2,2.4,0.9,2.5,2.2,2.7,1.2,2.5,2.4,1.4,1.4,1.8,0.9,3.2,1.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,1.8,2.7,1.7,1.6,2.4,1.1,1,2.1,2,1.1,1.4,2.2,0.8,1.3,1.7,2,1.2,1.6,2,3.2,1.9,2.1,1.5,1.8,1.3,3.8,1.9,1.3,1.1,1.2,1.4,2,2,1.9,2.1,1,1.9,2.4,0.8,2.4,1.8,2.5,1,2.3,2.3,1.4,1.3,1.7,0.9,3.1,1.2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,1.8,2.8,1.7,1.6,2.6,1.2,1.1,2.2,2.2,1.4,1.6,2.4,0.8,1.6,1.7,2,1.4,1.7,2.1,3.4,2.1,2.2,1.6,1.8,1.3,3.9,2,1.2,1.2,1.2,1.6,2,2.1,1.9,2.3,0.8,2,2.4,0.9,2.5,2.1,2.6,1.2,2.4,2.4,1.3,1.5,1.7,1,3.4,1.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06,1.8,2.9,1.6,1.5,2.4,1.1,1.1,2,2.2,1.4,1.5,2.4,0.9,1.3,1.8,2.1,1.5,1.8,2,3.4,1.9,2.4,1.4,1.8,1.3,4.1,2.1,1.2,1.4,1.3,1.5,2,1.9,1.9,2.3,0.9,2,2.5,0.9,2.5,2,2.6,1.2,2.5,2.4,1.4,1.2,1.8,1,3.2,1.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07,2,3,1.5,1.7,2.6,1.2,1.1,2.2,2.3,1.5,1.7,2.6,0.8,1.6,1.9,2.2,1.8,2,2.2,3.8,2.2,2.3,1.6,1.9,1.4,4.4,2.2,1.4,1.5,1.3,1.6,2,2.4,2,2.5,1.4,2.1,2.6,1,2.6,2.1,2.7,1.4,2.6,2.6,1.5,1.5,1.9,1.1,3.5,1.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08,2.1,3.1,1.7,1.9,2.6,1.3,1.2,2.4,2.5,1.7,1.9,2.7,0.9,1.7,2.1,2.5,1.8,2,2.2,3.7,2.1,2.4,1.7,2.1,1.5,4.6,2.4,1.5,1.4,1.4,1.7,2.1,2.4,2.2,2.5,1,2.2,2.6,1,2.9,2.1,2.8,1.4,2.6,2.8,1.5,1.6,2,1.1,3.2,1.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09,2,3.1,1.6,1.7,2.7,1.2,1.1,2.1,2.3,1.8,1.9,2.6,1,1.2,2,2.4,1.7,2.1,2.3,3.5,2,2.4,1.5,1.9,1.4,4.5,2.4,1.4,1.3,1.4,1.6,2.1,2.1,2.1,2.4,1,2.1,2.7,1,2.7,2,2.7,1.3,2.5,2.6,1.5,1.3,1.9,1.1,2.8,1.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
